Field Label,API Name,Data Type,Student Flow,Instructor Flow,Associate Flow,Notes
4D Username,Username_4D__pc,Text(255),N,Y,Y,
Account Name,Name,Name,N,N,N,
Salutation,Salutation,Picklist,N,N,N,
First Name,FirstName,Text(40),Y,Y,Y,
Last Name,LastName,Text(80),Y,Y,Y,
Middle Name,MiddleName,Text(40),Y,Y,Y,
Suffix,Suffix,Text(40),N,Y,Y,
Account Number,AccountNumber,"Number(18,0)",N,N,N,
Account Owner,OwnerId,Lookup(User),N,N,N,
Account Record Type,RecordTypeId,Record Type,N,N,N,
Account Site,Site,Text(80),N,N,N,
Account Source,AccountSource,Picklist,N,N,N,
Active,Active__pc,Checkbox,N,Y,Y,
Alert Flag,Alert_Flag__pc,Checkbox,Y,Y,Y,
Alumni Affiliation Id,Alumni_Affiliation_Id__c,Text(255),N,N,N,
Annual Revenue,AnnualRevenue,"Number(18,0)",N,N,N,
Assistant,PersonAssistantName,Text(40),N,N,N,
Asst. Phone,PersonAssistantPhone,Phone,N,N,N,
Benefit Status,Benefit_Status__pc,Picklist,N,N,N,Commented out in Associate — moved to PersonEmployment only
Billing Address,BillingAddress,Address,N,N,N,
Birthdate,PersonBirthdate,Date,Y,N,N,
Buyer,IsBuyer,Checkbox,N,N,N,
Catalog Order,Catalog_Order__c,"Number(18,0)",N,N,N,
CEEB Code,CEEB_Code__c,Text(10),N,N,N,
Century Club Courses Remaining,Century_Club_Courses_Remaining__c,"Number(18,0)",N,N,N,
Century Club Member,Century_Club_Member__c,Checkbox,N,N,N,
Certificate Issued,Certificate_Issued__pc,Checkbox,Y,N,N,
Certificate Issued Date,Certificate_Issued_Date__pc,Date,Y,N,N,
Channel Program Level Name,ChannelProgramLevelName,,N,N,N,
Channel Program Name,ChannelProgramName,,N,N,N,
Confidential Indicator,Confidential_Indicator__pc,Checkbox,N,N,N,
Course Solicitations,Course_Solicitations__pc,Checkbox,N,N,Y,
Created By,CreatedById,Lookup(User),N,N,N,
CSP Student ID (deprecated),CSP_Student_ID__pc,Text(20),N,N,N,
Customer Portal Account,IsCustomerPortal,Checkbox,N,N,N,
Data.com Key,Jigsaw,Text(20),N,N,N,
Deceased Indicator,Deceased__pc,Checkbox,N,N,N,
Department,PersonDepartment,Text(80),N,Y,Y,
Description,Description,"Long Text Area(32000)",Y,Y,Y,Notes field; always set for column consistency
Discount Eligibility,Discount_Eligibility__pc,Picklist,N,N,N,
Discount Lifetime,Discount_Lifetime__pc,Checkbox,Y,N,N,
Discount Verification Date,Discount_Verification_Date__pc,Date,Y,N,N,
Discount Verified,Discount_Verified__pc,Picklist,Y,N,N,
Do Not Call,PersonDoNotCall,Checkbox,N,N,N,
Do Not Contact,Do_Not_Contact__pc,Checkbox,N,Y,Y,
Do Not Enroll,Do_Not_Enroll__pc,Checkbox,Y,N,N,
Einstein Account Tier,Tier,Text(2),N,N,N,
Email,PersonEmail,Email,Y,Y,Y,
Email Address For Students,Email_Address_For_Students__pc,Text(255),N,N,N,Commented out in Associate
Email Key,Email_Key__c,Text(255),N,N,N,
Email Opt Out,PersonHasOptedOutOfEmail,Checkbox,Y,N,N,Inverted from Opt_In_Email
Employees,NumberOfEmployees,"Number(18,0)",N,N,N,
Ethnicity,Ethnicity__pc,Picklist,N,N,N,Excluded per architect (commented out in Student)
External ID,External_ID__c,Text(255),N,N,N,
External ID 4D,External_ID_4D__c,Text(255),Y,Y,Y,Upsert key — value: person{ID}
External ID 4D,External_ID_4D__pc,Text(255),Y,Y,Y,Person Contact side — same value as __c
Faculty Bio,Faculty_Bio__pc,"Rich Text Area(32000)",N,N,N,
Fax Opt Out,PersonHasOptedOutOfFax,Checkbox,N,N,N,
FERPA Directory Consent,FERPA_Directory_Consent__pc,Checkbox,Y,N,N,
FERPA Directory Opt-In,FERPA_Directory_Opt_In__pc,Checkbox,N,N,N,
First Quarter,First_Quarter__pc,Text(100),Y,Y,Y,
Former First Name,Former_First_Name__pc,Text(255),N,N,N,
Former Last Name,Former_Last_Name__pc,Text(255),N,N,N,
Former Middle Name,Former_Middle_Name__pc,Text(255),N,N,N,
Free Transcripts Remaining,Free_Transcripts_Remaining__pc,"Number(32,0)",N,N,N,
Gender Identity,PersonGenderIdentity,Picklist,N,N,N,
Gift Entry External Id,Gift_Entry_External_Id__c,Text(30),N,N,N,
Harassment Training Complete,Harassment_Training_Complete__pc,Date,N,N,N,Commented out in Associate; not mapped in Student or Instructor
Highest Degree,Highest_Degree__pc,Picklist,Y,N,N,
Home Phone,PersonHomePhone,Phone,N,Y,Y,
Hospital Badge Number,Hospital_Badge_Number__pc,Text(40),N,N,N,
Individual,PersonIndividualId,Lookup(Individual),N,N,N,
Industry,Industry,Picklist,N,N,N,
Instructor Portal Active,IP_PortalActive__pc,Checkbox,N,N,N,
Is Instructor,IP_IsInstructor__pc,Checkbox,N,N,N,
Is Stanford Affiliate,Is_Stanford_Affiliate__c,Checkbox,N,N,N,
Last Modified By,LastModifiedById,Lookup(User),N,N,N,
Last Payment Date,Last_Payment_Date__pc,Date,N,N,N,
Last Stay-in-Touch Request Date,PersonLastCURequestDate,DateTime,N,N,N,
Last Stay-in-Touch Save Date,PersonLastCUUpdateDate,DateTime,N,N,N,
Lead Source,PersonLeadSource,Picklist,N,N,N,
Legal Name,Legal_Name__pc,Text(255),N,Y,Y,
Legal Sex,Legal_Sex__pc,Picklist,Y,N,N,Normalized M/F/D/N; #N/A if empty
Mailing Address,PersonMailingAddress,Address,Y,Y,Y,Street+City+State+PostalCode+Country components all set
Marketing Opt Out,Marketing_Opt_Out__pc,Checkbox,N,N,N,
Mobile,PersonMobilePhone,Phone,N,Y,Y,
Most Recent Quarter,Most_Recent_Quarter__pc,Text(100),Y,Y,Y,
Operating Hours,OperatingHoursId,Lookup(Operating Hours),N,N,N,
Opt In Physical Mail,Opt_In_Physical_Mail__pc,Checkbox,Y,N,N,
Other Address,PersonOtherAddress,Address,N,N,N,
Other Phone,PersonOtherPhone,Phone,Y,N,N,Evening phone; falls back to Daytime phone
Out Of State Fee,Out_Of_State_Fee__pc,Checkbox,N,Y,Y,
Outstanding Balance,Outstanding_Balance__pc,"Currency(16,2)",N,N,N,
Ownership,Ownership,Picklist,N,N,N,
Parent Account,ParentId,Hierarchy,N,N,N,
Partner Account,IsPartner,Checkbox,N,N,N,
Phone,Phone,Phone,N,Y,Y,Work Phone
Photo Approval,Photo_Approval__pc,Checkbox,N,N,N,
Pronouns,PersonPronouns,Picklist,N,N,N,
Pronouns Other,Pronouns_Other__pc,Text(255),N,N,N,
Rating,Rating,Picklist,N,N,N,
Reports To,PersonReportsToId,Lookup(Contact),N,N,N,
SAA Number,SAA_Number__pc,Text(255),Y,N,N,
Salary Category,Salary_Category__pc,Picklist,N,N,N,Commented out in Associate — moved to PersonEmployment only
SBSAA Number,SBSAA_Number__pc,Text(50),Y,N,N,
Shipping Address,ShippingAddress,Address,N,N,N,
SIC Code,Sic,Text(20),N,N,N,
SIC Description,SicDesc,Text(80),N,N,N,
SIS ID,SIS_ID__pc,Text(255),N,N,N,
Social Security Number,SSN__pc,Text (Encrypted)(9),N,N,N,
Source of Awareness,Source_of_Awareness__c,Picklist,N,N,N,
Source System ID,PersonLeadSourceIdentifier,,N,N,N,
Stanford Alumnus,Stanford_Alumnus__pc,Picklist,N,N,N,Excluded per architect (commented out in Student)
Stanford Employee ID,Stanford_Employee_ID__c,Text(20),N,N,N,
Stanford Mail Code,Stanford_Mail_Code__pc,Text(100),N,N,Y,
STAP Annual Limit,STAP_Annual_Limit__c,"Currency(16,2)",N,N,N,
STAP Balance,STAP_Balance__c,"Currency(16,2)",N,N,N,
Stripe Customer,stripeGC_Customer__c,Lookup(Stripe Customer),N,N,N,
Stripe Customer ID,stripeGC_Customer_Id__c,Text(255),N,N,N,
Student ID (deprecated),Student_ID__pc,"Number(18,0)",N,Y,Y,
Student Portal Active,SP_Portal_Active__pc,Checkbox,N,N,N,
SUNet ID,SUNet_Id__pc,Text(18),N,Y,Y,
SUNet ID,SUNet_Id__c,Text(255),N,N,N,
TA Discount Type,TA_Discount_Type__pc,Picklist,Y,N,N,Normalized; invalid values mapped to #N/A
Ticker Symbol,TickerSymbol,Text(100),N,N,N,
Title,PersonTitle,Text(80),N,Y,Y,Truncated to 80 chars (Instructor) / 128 chars (Associate)
Total Courses,Total_Courses__pc,"Number(18,0)",N,N,Y,
Total Enrollments,Total_Enrollments__pc,Text(255),Y,N,N,
Type,Type,Picklist,N,N,N,
University ID,University_ID__pc,Text(100),Y,Y,Y,
US Citizen,US_Citizen__pc,Picklist,N,N,N,Excluded per architect (commented out in Student)
Website,Website,URL(255),N,N,N,
